x,y,Score
34.0461,-118.3189,7
33.7851,-118.2541,2
34.0529,-118.2733,3
34.0449,-118.2458,9
34.1839,-118.4618,4
34.2119,-118.6017,3
34.1682,-118.571,8
34.0418,-118.3071,8
34.2216,-118.4488,8
34.2595,-118.5198,7
34.2233,-118.3752,4
33.9645,-118.4043,8
33.9922,-118.2521,7
33.9842,-118.2958,4
33.9712,-118.2564,4
34.0867,-118.2701,8
33.7697,-118.2656,8
33.7915,-118.3011,9
34.0705,-118.2001,4
34.0317,-118.2769,4
34.0857,-118.2812,5
34.0857,-118.2812,7
34.2194,-118.6213,1
34.0636,-118.2954,2
34.2248,-118.4351,4
34.283,-118.4635,3
33.9284,-118.2916,8
33.992,-118.4448,4
33.9843,-118.2739,3
34.0808,-118.2655,3
34.1939,-118.4924,2
34.1713,-118.5273,4
34.0573,-118.4247,7
34.0885,-118.3135,9
33.7932,-118.2648,4
34.0491,-118.2016,4
34.0693,-118.2,3
34.0218,-118.3723,3
34.015,-118.3536,3
34.0326,-118.335,9
34.0591,-118.2635,3
34.0642,-118.257,7
34.2207,-118.4425,2
34.2551,-118.2964,4
34.1936,-118.4166,9
34.1448,-118.4117,4
33.942,-118.4095,3
33.9933,-118.4765,4
34.0058,-118.2521,9
34.0132,-118.2397,7
34.001,-118.3067,4
33.9825,-118.3197,4
33.9996,-118.3002,3
33.9922,-118.3276,7
33.989,-118.3332,4
34.1199,-118.2431,3
34.1039,-118.3311,3
33.7978,-118.2885,1
34.0439,-118.2514,10
34.1846,-118.6315,9
34.1865,-118.6392,6
34.1793,-118.6015,8
34.1809,-118.6121,7
34.2138,-118.584,3
34.2101,-118.6328,2
34.1867,-118.6069,4
34.1774,-118.6364,4
34.1679,-118.5804,7
34.199,-118.6147,6
34.1946,-118.5809,6
34.2083,-118.5906,6
34.0581,-118.3143,5
34.0442,-118.2943,4
34.0598,-118.2935,8
34.0596,-118.3022,2
34.0763,-118.3091,7
34.0799,-118.3017,1
34.0527,-118.3091,8
34.0763,-118.2917,2
34.0799,-118.3113,3
34.0777,-118.3012,5
34.0777,-118.3012,5
34.0437,-118.3029,4
34.0424,-118.3028,10
34.0473,-118.2842,3
34.0473,-118.2842,3
34.0473,-118.2842,3
34.0597,-118.3112,4
34.04,-118.3067,3
34.0731,-118.2905,5
34.0636,-118.296,3
34.069,-118.3091,9
34.0799,-118.3025,7
34.0726,-118.3029,7
34.0509,-118.3041,4
34.0473,-118.2924,6
34.0536,-118.2947,1
34.0636,-118.296,1
