x,y,Amount
34.0509745,-118.2085545,805
34.04985,-118.2009955,865
34.046939,-118.203105,799
34.045049,-118.196441,796
34.0342105,-118.195139,978
34.038791,-118.198734,753
34.033887,-118.2011895,881
34.043615,-118.205084,801
34.038738,-118.208061,854
34.046181,-118.214985,807
34.0445335,-118.211622,821
34.036247,-118.2161145,893
34.030962,-118.212412,833
34.028574,-118.2027025,895
34.023785,-118.2058885,1119
34.0250545,-118.1964135,894
34.0181175,-118.197122,1307
34.0244945,-118.214114,1027
34.0191645,-118.2113105,795
34.0702965,-118.2318745,581
34.057696,-118.232064,1679
34.0344105,-118.23121,1660
34.0473465,-118.2237095,814
34.0290235,-118.2229675,697
34.04707,-118.2428045,434
34.0405235,-118.244262,287
34.0610075,-118.2449835,903
34.058835,-118.239167,603
34.0642795,-118.2398345,858
34.0469135,-118.251366,370
34.0474815,-118.2478185,1273
34.056393,-118.24561,
34.0565345,-118.2528675,1456
34.0524315,-118.253282,481
34.0467345,-118.2622625,638
34.0403745,-118.260362,1678
34.062852,-118.2552085,905
34.061991,-118.265842,774
34.0634965,-118.26261,713
34.063775,-118.269137,800
34.0682985,-118.265581,961
34.0694385,-118.271932,1010
34.0660235,-118.2741745,826
34.071928,-118.280946,960
34.069656,-118.2780295,976
34.065666,-118.282003,1112
34.062837,-118.2811225,765
34.0602215,-118.276593,745
34.061881,-118.2785535,795
34.0564435,-118.2723635,775
34.0594445,-118.273509,817
34.059592,-118.270177,702
34.05566,-118.2674565,751
34.0570845,-118.2639395,747
34.058994,-118.2663115,714
34.054276,-118.26086,799
34.0508765,-118.2678705,827
34.0568345,-118.2810775,743
34.0546635,-118.2772135,755
34.0531325,-118.273845,694
34.0530605,-118.281509,786
34.050539,-118.2769545,780
34.049228,-118.2819155,617
34.047197,-118.278215,782
34.0467975,-118.2717075,596
34.0683115,-118.3326325,1398
34.0652025,-118.286978,1146
34.0726225,-118.2849265,1168
34.0726525,-118.289233,1099
34.074518,-118.298475,1046
34.074526,-118.2941155,778
34.0708895,-118.298462,866
34.0708825,-118.294158,739
34.0726125,-118.307315,895
34.072636,-118.302937,890
34.0725965,-118.316,1037
34.0653255,-118.3184645,1389
34.067143,-118.311589,974
34.0635115,-118.3116385,1040
34.0635375,-118.304729,882
34.0671885,-118.3022325,1086
34.0671615,-118.3066105,1036
34.067207,-118.2985,964
34.067232,-118.292902,952
34.067223,-118.295398,1068
34.0635935,-118.29414,900
34.0635735,-118.298496,871
34.056368,-118.2879195,817
34.0597625,-118.290359,641
34.0597755,-118.2861875,751
34.059763,-118.2935145,802
34.0597395,-118.2982,826
34.056107,-118.298204,900
34.0561295,-118.2940735,1050
34.05971,-118.301987,1125
34.056087,-118.301978,908
34.0560675,-118.305364,993
34.0580795,-118.306623,1078
34.0598685,-118.314272,917
34.0562585,-118.313612,1047
34.0546775,-118.3194445,1183
34.0575235,-118.3258035,1485
34.0523625,-118.330411,1156
34.0501175,-118.321485,805
34.0508045,-118.3133105,967
34.052656,-118.3044735,860
34.0490315,-118.3045065,901
34.0508675,-118.29803,863
34.0508855,-118.2937275,727
34.053716,-118.287906,875
34.0498995,-118.28787,904
34.0745805,-118.3486205,2000
34.074602,-118.339096,2000
34.078166,-118.3573315,1683
34.070503,-118.357312,2000
34.0677735,-118.35135,1922
34.0673015,-118.3536195,1915
34.0725795,-118.365913,1612
34.0665205,-118.366383,1486
34.070088,-118.3732965,1422
34.0742895,-118.387219,1691
34.073012,-118.379762,1629
34.063565,-118.3542505,1271
34.0648495,-118.3456205,1396
34.0568595,-118.3378575,1695
34.05688,-118.3480075,1342
34.059083,-118.363807,1230
34.0563915,-118.3799175,1306
34.06116,-118.3804405,1397
34.048208,-118.371729,1250
34.055507,-118.369996,1812
34.0504795,-118.36321,1327
34.0519395,-118.3873275,1551
34.049649,-118.381096,1399
34.049342,-118.354404,1027
34.049375,-118.3418365,1104
34.044154,-118.3286425,934
34.0436875,-118.320626,957
34.043303,-118.3422655,954
34.043498,-118.334779,985
34.041276,-118.3549225,1054
34.037613,-118.3607045,947
34.0375635,-118.3505565,1056
34.037184,-118.3427065,1082
34.0372715,-118.333362,908
34.0327605,-118.335031,844
34.037556,-118.323034,1043
34.0331165,-118.3238185,898
34.027596,-118.322938,871
34.021941,-118.3229865,935
34.026962,-118.3316675,969
34.0211635,-118.3405655,968
34.028076,-118.347852,950
34.0298385,-118.354579,922
34.0297025,-118.3604535,969
34.0305455,-118.36963,997
34.0276275,-118.3405665,925
34.0241755,-118.3664325,332
34.0455315,-118.2878625,658
34.042054,-118.2878455,967
34.04359,-118.3026265,904
34.0436145,-118.2961455,811
34.0417465,-118.3114895,811
34.0453825,-118.308407,838
34.045369,-118.314651,870
34.0339245,-118.3133125,681
34.038279,-118.308985,904
34.034856,-118.3046185,711
34.034833,-118.2959055,876
34.038415,-118.292179,746
34.034366,-118.287757,824
34.0305765,-118.292359,918
34.0305755,-118.286386,1104
34.0260705,-118.289757,971
34.0282015,-118.3132745,825
34.0218995,-118.3135615,954
34.027317,-118.3024105,869
34.0309165,-118.302424,770
34.021865,-118.3045305,1034
34.0218365,-118.2958795,902
34.020537,-118.2847645,1221
34.036945,-118.2655625,549
34.030734,-118.267245,678
34.041032,-118.277298,577
34.043569,-118.2820315,770
34.041517,-118.2804885,647
34.0343195,-118.2789565,1059
34.0318675,-118.2778715,660
34.0223275,-118.2717135,802
34.0263755,-118.279223,1134
34.0245655,-118.251001,982
34.033429,-118.249304,484
34.0242035,-118.2622875,757
34.021775,-118.2569205,912
34.017615,-118.2623795,913
34.018875,-118.247064,1009
34.0161415,-118.2516245,744
34.010118,-118.244922,839
34.010168,-118.2525945,864
34.0065835,-118.2519225,911
34.011872,-118.262852,885
34.007893,-118.263681,990
34.014163,-118.2690345,957
34.00749,-118.270975,887
34.003629,-118.2695985,928
34.003674,-118.260853,944
