x,y,Amount
34.227376,-118.441236,1400
34.2175015,-118.4629745,1000
34.2166115,-118.4541405,1000
34.2149315,-118.451986,900
34.229161,-118.4516205,1000
34.224796,-118.4484845,1000
34.2300875,-118.444443,700
34.223101,-118.4567005,1000
34.2264195,-118.4566575,900
34.231779,-118.4563995,1200
34.214918,-118.439841,1700
34.2178505,-118.4330175,1100
34.224559,-118.402591,1400
34.2110805,-118.402468,1100
34.225737,-118.3655,1000
34.2403885,-118.3845615,1200
34.2400435,-118.404715,900
34.227323,-118.396127,1400
34.2330185,-118.391909,1100
34.211448,-118.409348,2000
34.21209,-118.3921495,1100
34.219592,-118.39214,1400
34.2176405,-118.3816355,900
34.2171585,-118.4183795,1200
34.21116,-118.371144,1100
34.2138845,-118.3714175,1100
34.220949,-118.3717735,900
34.214391,-118.3596165,1100
34.204063,-118.3921485,1000
34.203194,-118.3834125,1000
34.202326,-118.374682,1000
34.2048255,-118.366247,900
34.1906295,-118.365029,1000
34.183057,-118.364585,1000
34.195833,-118.392147,900
34.193936,-118.39433,900
34.194979,-118.383413,900
34.1941185,-118.3746795,900
34.199392,-118.401141,1000
34.1975515,-118.411425,1000
34.19712,-118.4056305,1000
34.197565,-118.4224435,800
34.1939335,-118.418128,900
34.195752,-118.4268885,900
34.190302,-118.4244185,1000
34.177484,-118.417834,1100
34.1794765,-118.42688,1000
34.184859,-118.409517,1100
34.181224,-118.400846,1200
34.1848585,-118.394806,1100
34.176766,-118.3921365,1200
34.162959,-118.4048165,1100
34.175783,-118.383398,1100
34.1884915,-118.3834125,900
34.1848615,-118.383409,900
34.181229,-118.383405,1100
34.1848665,-118.374674,1000
34.177602,-118.3746645,1000
34.1739735,-118.3746565,1000
34.175793,-118.36403,1100
34.1738495,-118.409707,1200
34.1741095,-118.4246955,1200
34.161935,-118.4268715,1400
34.16246691,-118.4138645,1200
34.170222,-118.4008735,1100
34.1666115,-118.4008715,1200
34.1648815,-118.39212,1200
34.1648915,-118.383369,1100
34.1685345,-118.3668635,1200
34.1667075,-118.3702555,1100
34.1612765,-118.374603,1100
34.1568065,-118.3734175,1200
34.1621865,-118.365879,1100
34.1564755,-118.3658595,1300
34.1588915,-118.355607,1300
34.206446,-118.4443775,1200
34.2046925,-118.42898,1000
34.2056005,-118.4356785,1000
34.2080785,-118.45744,1000
34.2047635,-118.4531115,900
34.2087545,-118.4697515,1000
34.211219,-118.4794785,1000
34.2182555,-118.469623,900
34.19575,-118.479983,900
34.199296,-118.479612,900
34.1902705,-118.485831,1000
34.190276,-118.4777465,1000
34.1871595,-118.4701935,1200
34.197487,-118.4701995,900
34.197557,-118.4530895,900
34.197493,-118.461823,1000
34.192108,-118.457452,900
34.1886615,-118.457449,1100
34.197562,-118.444372,1000
34.197565,-118.435622,1100
34.1902995,-118.4356175,1200
34.190296,-118.444351,1000
34.183584,-118.4443465,1000
34.1832715,-118.4356135,900
34.18353,-118.4596295,1000
34.18356,-118.4530775,1000
34.178852,-118.461253,1300
34.1703025,-118.4443375,1200
34.1781255,-118.439977,1000
34.1712145,-118.4356065,1100
34.1600075,-118.439966,1300
34.1684665,-118.46564,1200
34.1684825,-118.455251,1400
34.160867,-118.4590905,1200
34.214552,-118.541108,1000
34.1992525,-118.5399945,1300
34.2148095,-118.505505,1800
34.2147545,-118.514238,1500
34.2146895,-118.5229705,1900
34.214622,-118.531704,1200
34.214462,-118.553111,1900
34.2046655,-118.5578915,1200
34.2046775,-118.548712,1200
34.2047035,-118.527322,1000
34.2047185,-118.50986,1800
34.1920605,-118.5142095,1200
34.193829,-118.5098475,1300
34.1902625,-118.495655,1200
34.20352,-118.4967605,1100
34.1974585,-118.5273115,900
34.197466,-118.548712,1100
34.190734,-118.5471015,1000
34.189425,-118.527258,1000
34.185127,-118.525918,1500
34.1944835,-118.557871,1900
